,Unnamed: 0,stats_id,weapon_x,initiated,strip_location,body_location,created_date,gfycat_gfy_id,tournament_id,weapon_y,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
4838,29,ExcellentJauntyBobcat,sabre,fotl,fotl_half,torso,1700971066,ExcellentJauntyBobcat,algierssabre2022,sabre,female,Elisabeth Gette,Pusztai Liza,10,9,left,https://clips.fencingdatabase.com/algierssabre2022/ExcellentJauntyBobcat.mp4
4839,30,PerfumedTenseAffenpinscher,sabre,fotr,fotr_warning_box,hand,1700971132,PerfumedTenseAffenpinscher,algierssabre2022,sabre,female,Despina Georgiadou,Claudia Rotili,6,1,left,https://clips.fencingdatabase.com/algierssabre2022/PerfumedTenseAffenpinscher.mp4
4840,31,ForsakenWarmheartedAustralianshelduck,sabre,fotr,middle,head,1700971186,ForsakenWarmheartedAustralianshelduck,algierssabre2022,sabre,female,Sara Balzer,Michela Battiston,9,10,right,https://clips.fencingdatabase.com/algierssabre2022/ForsakenWarmheartedAustralianshelduck.mp4
4841,32,InnocentPlayfulBlobfish,sabre,fotl,fotl_warning_box,torso,1700971247,InnocentPlayfulBlobfish,algierssabre2022,sabre,female,Despina Georgiadou,Claudia Rotili,15,6,left,https://clips.fencingdatabase.com/algierssabre2022/InnocentPlayfulBlobfish.mp4
4842,33,InbornFlickeringAsianelephant,sabre,fotr,middle,torso,1700971289,InbornFlickeringAsianelephant,algierssabre2022,sabre,female,Toscane Tori,Sara Balzer,0,2,right,https://clips.fencingdatabase.com/algierssabre2022/InbornFlickeringAsianelephant.mp4
4843,34,GrayPalatableKoala,sabre,fotl,fotl_half,front_arm,1700971358,GrayPalatableKoala,algierssabre2022,sabre,female,Sara Balzer,Martina Criscio,9,4,right,https://clips.fencingdatabase.com/algierssabre2022/GrayPalatableKoala.mp4
4844,35,ArtisticMessyAfricanpiedkingfisher,sabre,fotr,middle,torso,1700971425,ArtisticMessyAfricanpiedkingfisher,algierssabre2022,sabre,female,Zhuang Chenyi,Mathilde Mouroux,8,14,left,https://clips.fencingdatabase.com/algierssabre2022/ArtisticMessyAfricanpiedkingfisher.mp4
4845,36,RawEarlyArmyant,sabre,fotr,middle,front_arm,1700971470,RawEarlyArmyant,algierssabre2022,sabre,female,Sara Balzer,Martina Criscio,5,2,left,https://clips.fencingdatabase.com/algierssabre2022/RawEarlyArmyant.mp4
4847,41,PositiveUnfoldedBassethound,sabre,fotr,middle,head,1701645109,PositiveUnfoldedBassethound,algierssabre2022,sabre,female,Despina Georgiadou,Theodora Gkountoura,1,0,left,https://clips.fencingdatabase.com/algierssabre2022/PositiveUnfoldedBassethound.mp4
4848,42,HideousRewardingBluetonguelizard,sabre,fotl,fotr_warning_box,torso,1701645212,HideousRewardingBluetonguelizard,algierssabre2022,sabre,female,Theodora Gkountoura,Mukae Ayaka,11,9,left,https://clips.fencingdatabase.com/algierssabre2022/HideousRewardingBluetonguelizard.mp4
4849,43,SpecificImmaculateGardensnake,sabre,fotl,middle,torso,1701645270,SpecificImmaculateGardensnake,algierssabre2022,sabre,female,Saoussen Boudiaf,Pusztai Liza,2,0,left,https://clips.fencingdatabase.com/algierssabre2022/SpecificImmaculateGardensnake.mp4
