,gfycat_gfy_id,tournament_id,weapon,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
0,AridFluidGadwall,heidenheim2019,epee,male,Jacob Hoyle,Redli Andras,13,8,right,https://clips.fencingdatabase.com/heidenheim2019/AridFluidGadwall.mp4
0,ActualFreeGuppy,seoulsabre2019,sabre,female,Anna Limbach,Shao Yaqi,1,3,right,https://clips.fencingdatabase.com/seoulsabre2019/ActualFreeGuppy.mp4
0,ElderlyFrailHermitcrab,seoulsabre2019,sabre,female,Rossella Gregorio,Manon Apithy - Brunet,3,5,right,https://clips.fencingdatabase.com/seoulsabre2019/ElderlyFrailHermitcrab.mp4
0,MassiveOrganicArgali,cali2019,epee,,Catherine Nixon,Mara Navarria,11,12,left,https://clips.fencingdatabase.com/cali2019/MassiveOrganicArgali.mp4
0,FaithfulPertinentGenet,barcelona2019,epee,female,Man Wai Vivian Kong,Kseniya Pantelyeyeva,11,4,left,https://clips.fencingdatabase.com/barcelona2019/FaithfulPertinentGenet.mp4
0,PointlessPortlyApe,qatar2020,epee,,Yulia Lichagina,Olena Kryvytska,2,8,right,https://clips.fencingdatabase.com/qatar2020/PointlessPortlyApe.mp4
0,AlarmingDazzlingDoe,dubai2019,epee,female,Camille Nabeth,Erika Kirpu,1,1,left,https://clips.fencingdatabase.com/dubai2019/AlarmingDazzlingDoe.mp4
0,AromaticCelebratedBlackbuck,barcelona2016,epee,female,Beate Christmann,Julia Beljajeva,6,2,right,https://clips.fencingdatabase.com/barcelona2016/AromaticCelebratedBlackbuck.mp4
0,ShockingSickGrackle,heidenheim2019,epee,male,Mateusz Nycz,Grigori Beskin,12,10,left,https://clips.fencingdatabase.com/heidenheim2019/ShockingSickGrackle.mp4
0,SpecificFickleArrowcrab,budapestsabre2019,sabre,male,Gu Bongil,Mojtaba Abedini,10,10,right,https://clips.fencingdatabase.com/budapestsabre2019/SpecificFickleArrowcrab.mp4
0,BitterDefiantHarrierhawk,wuxi2018,epee,male,Ricardo Candeias,Kano Koki,3,7,left,https://clips.fencingdatabase.com/wuxi2018/BitterDefiantHarrierhawk.mp4
0,UnconsciousNimbleAmericanindianhorse,wuxi2018,epee,female,Ewa Trzebinska,Coraline Vitalis,8,5,left,https://clips.fencingdatabase.com/wuxi2018/UnconsciousNimbleAmericanindianhorse.mp4
0,OrnateRelievedLcont,barcelona2016,epee,female,Kang Young Mi,Alberta Santuccio,2,0,left,https://clips.fencingdatabase.com/barcelona2016/OrnateRelievedLcont.mp4
0,AromaticFlippantIndianhare,qatar2020,epee,,Aleksandra Zamachowska,Olena Kryvytska,7,9,right,https://clips.fencingdatabase.com/qatar2020/AromaticFlippantIndianhare.mp4
